series_id,element,parent_smiles,halogen_count,cid
S0000,Br,C1CCCC1,1,8728
S0000,Br,C1CCCC1,2,71374593
S0000,Br,C1CCCC1,3,122583543
S0000,Br,C1CCCC1,4,91541725
S0000,Br,C1CCCC1,5,53948224
S0000,Br,C1CCCC1,6,54161434
S0000,Br,C1CCCC1,7,54551714
S0000,Br,C1CCCC1,8,53763229
S0000,Br,C1CCCC1,9,53993900
S0000,Br,C1CCCC1,10,14619512
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,1,67740211
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,2,69647385
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,3,69647381
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,4,20156741
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,5,69647390
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,6,88300021
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,7,20156738
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,8,21287574
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,9,87931883
S0001,Br,CC(Oc1ccccc1)Oc1ccccc1,10,18669765
S0002,Br,CC(c1ccccc1)c1ccccc1,1,19019197
S0002,Br,CC(c1ccccc1)c1ccccc1,2,69632448
S0002,Br,CC(c1ccccc1)c1ccccc1,3,263109
S0002,Br,CC(c1ccccc1)c1ccccc1,4,347753
S0002,Br,CC(c1ccccc1)c1ccccc1,5,53654875
S0002,Br,CC(c1ccccc1)c1ccccc1,6,23496441
S0002,Br,CC(c1ccccc1)c1ccccc1,7,22277924
S0002,Br,CC(c1ccccc1)c1ccccc1,8,21909350
S0002,Br,CC(c1ccccc1)c1ccccc1,9,21909351
S0002,Br,CC(c1ccccc1)c1ccccc1,10,22345076
S0002,Br,CC(c1ccccc1)c1ccccc1,11,88051332
S0002,Br,CC(c1ccccc1)c1ccccc1,12,21909363
S0003,Br,CCCC,1,12236140
S0003,Br,CCCC,2,641261
S0003,Br,CCCC,3,98043088
S0003,Br,CCCC,4,12696456
S0003,Br,CCCC,5,154123667
S0003,Br,CCCC,6,23336944
S0003,Br,CCCC,7,91407354
S0003,Br,CCCC,8,18373679
S0003,Br,CCCC,9,173657846
S0003,Br,CCCC,10,18925840
S0004,Br,CCCCCCCCO,1,10035984
S0004,Br,CCCCCCCCO,2,141280816
S0004,Br,CCCCCCCCO,3,154332629
S0004,Br,CCCCCCCCO,4,129691080
S0004,Br,CCCCCCCCO,5,141280889
S0004,Br,CCCCCCCCO,6,141280827
S0004,Br,CCCCCCCCO,7,141280843
S0004,Br,CCCCCCCCO,8,141280884
S0004,Br,CCCCCCCCO,9,141280878
S0004,Br,CCCCCCCCO,10,141280833
S0004,Br,CCCCCCCCO,11,141280801
S0004,Br,CCCCCCCCO,12,141280869
S0004,Br,CCCCCCCCO,13,141280891
S0004,Br,CCCCCCCCO,14,21923722
S0004,Br,CCCCCCCCO,15,21923668
S0004,Br,CCCCCCCCO,16,87603801
S0004,Br,CCCCCCCCO,17,54523338
S0005,Br,CCCCCCCO,1,66284
S0005,Br,CCCCCCCO,2,141280811
S0005,Br,CCCCCCCO,3,118275854
S0005,Br,CCCCCCCO,4,141280834
S0005,Br,CCCCCCCO,5,141280812
S0005,Br,CCCCCCCO,6,141280851
S0005,Br,CCCCCCCO,7,141280892
S0005,Br,CCCCCCCO,8,141280881
S0005,Br,CCCCCCCO,9,141280831
S0005,Br,CCCCCCCO,10,141280839
S0005,Br,CCCCCCCO,11,141280849
S0005,Br,CCCCCCCO,12,141280866
S0006,Br,CCCCCCO,1,140357685
S0006,Br,CCCCCCO,2,18920913
S0006,Br,CCCCCCO,3,141280855
S0006,Br,CCCCCCO,4,141280858
S0006,Br,CCCCCCO,5,141280863
S0006,Br,CCCCCCO,6,141280853
S0006,Br,CCCCCCO,7,141280822
S0006,Br,CCCCCCO,8,141280904
S0006,Br,CCCCCCO,9,141280850
S0006,Br,CCCCCCO,10,21923831
S0006,Br,CCCCCCO,11,141280897
S0006,Br,CCCCCCO,12,87602748
S0006,Br,CCCCCCO,13,53745750
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,1,69416353
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,2,66673979
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,3,67541184
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,4,70453333
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,5,67541778
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,6,87434826
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,7,87438964
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,8,87195595
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,9,87438625
S0007,Br,CCOCC.c1ccc(-c2ccccc2)cc1,10,87224791
S0008,Br,COC(=O)c1ccccc1C(=O)OC,1,53438518
S0008,Br,COC(=O)c1ccccc1C(=O)OC,2,71669666
S0008,Br,COC(=O)c1ccccc1C(=O)OC,3,69872448
S0008,Br,COC(=O)c1ccccc1C(=O)OC,4,21389909
S0008,Br,COC(=O)c1ccccc1C(=O)OC,5,90810013
S0008,Br,COC(=O)c1ccccc1C(=O)OC,6,88028007
S0008,Br,COC(=O)c1ccccc1C(=O)OC,7,91045954
S0008,Br,COC(=O)c1ccccc1C(=O)OC,8,88028410
S0008,Br,COC(=O)c1ccccc1C(=O)OC,9,88028917
S0008,Br,COC(=O)c1ccccc1C(=O)OC,10,88028801
S0009,Br,c1ccc(-c2ccccc2)cc1,1,16449
S0009,Br,c1ccc(-c2ccccc2)cc1,2,153987
S0009,Br,c1ccc(-c2ccccc2)cc1,3,154390
S0009,Br,c1ccc(-c2ccccc2)cc1,4,591322
S0009,Br,c1ccc(-c2ccccc2)cc1,5,154298
S0009,Br,c1ccc(-c2ccccc2)cc1,6,85666268
S0009,Br,c1ccc(-c2ccccc2)cc1,7,155278
S0009,Br,c1ccc(-c2ccccc2)cc1,8,3032840
S0009,Br,c1ccc(-c2ccccc2)cc1,9,153897
S0009,Br,c1ccc(-c2ccccc2)cc1,10,26164
S0010,Br,c1ccc(CCc2ccccc2)cc1,1,52420382
S0010,Br,c1ccc(CCc2ccccc2)cc1,2,10969851
S0010,Br,c1ccc(CCc2ccccc2)cc1,3,125465424
S0010,Br,c1ccc(CCc2ccccc2)cc1,4,21141037
S0010,Br,c1ccc(CCc2ccccc2)cc1,5,102050958
S0010,Br,c1ccc(CCc2ccccc2)cc1,6,21584823
S0010,Br,c1ccc(CCc2ccccc2)cc1,7,10974646
S0010,Br,c1ccc(CCc2ccccc2)cc1,8,21584826
S0010,Br,c1ccc(CCc2ccccc2)cc1,9,11007458
S0010,Br,c1ccc(CCc2ccccc2)cc1,10,21909385
S0011,Br,c1ccc(Cc2ccccc2)cc1,1,597532
S0011,Br,c1ccc(Cc2ccccc2)cc1,2,258447
S0011,Br,c1ccc(Cc2ccccc2)cc1,3,258445
S0011,Br,c1ccc(Cc2ccccc2)cc1,4,175282268
S0011,Br,c1ccc(Cc2ccccc2)cc1,5,107980879
S0011,Br,c1ccc(Cc2ccccc2)cc1,6,87731654
S0011,Br,c1ccc(Cc2ccccc2)cc1,7,23496443
S0011,Br,c1ccc(Cc2ccccc2)cc1,8,21584827
S0011,Br,c1ccc(Cc2ccccc2)cc1,9,22186314
S0011,Br,c1ccc(Cc2ccccc2)cc1,10,15105963
S0011,Br,c1ccc(Cc2ccccc2)cc1,11,21909372
S0011,Br,c1ccc(Cc2ccccc2)cc1,12,23496439
S0012,Br,c1ccc(Oc2ccccc2)cc1,1,37483
S0012,Br,c1ccc(Oc2ccccc2)cc1,2,16305
S0012,Br,c1ccc(Oc2ccccc2)cc1,3,39506
S0012,Br,c1ccc(Oc2ccccc2)cc1,4,95170
S0012,Br,c1ccc(Oc2ccccc2)cc1,5,13828346
S0012,Br,c1ccc(Oc2ccccc2)cc1,6,21604829
S0012,Br,c1ccc(Oc2ccccc2)cc1,7,53485723
S0012,Br,c1ccc(Oc2ccccc2)cc1,8,6537506
S0012,Br,c1ccc(Oc2ccccc2)cc1,9,11018364
S0012,Br,c1ccc(Oc2ccccc2)cc1,10,14410
S0013,Cl,C.CC,1,160804940
S0013,Cl,C.CC,2,20092763
S0013,Cl,C.CC,3,21218021
S0013,Cl,C.CC,4,157896627
S0013,Cl,C.CC,5,19100534
S0013,Cl,C.CC,6,157832601
S0013,Cl,C.CC,7,21398734
S0013,Cl,C.CC,8,87770522
S0013,Cl,C.CC,9,174775338
S0013,Cl,C.CC,10,87168985
S0014,Cl,C1=CC2CCC1C2,1,138019
S0014,Cl,C1=CC2CCC1C2,2,107314
S0014,Cl,C1=CC2CCC1C2,3,129867135
